timestamp,activity,x_gyro,y_gyro,z_gyro,x_accel,y_accel,z_accel
30,sitting,-8188,3188,-14252,-426,-19,-3
531,sitting,-8152,3076,-14076,-427,-4,-15
1033,sitting,-8128,3200,-14036,-431,-26,-8
1534,sitting,-8116,3272,-14256,-432,-15,-29
2035,sitting,-8092,3276,-14096,-464,6,14
2536,sitting,-8068,3184,-14092,-434,-2,0
3037,sitting,-8212,3136,-14204,-442,-13,14
3538,sitting,-8136,3256,-14156,-442,-35,11
4039,sitting,-8084,3212,-14096,-411,9,32
4540,sitting,-8196,3204,-14108,-450,9,-3
5041,sitting,-8204,3240,-14168,-441,7,20
5542,sitting,-8120,3252,-14184,-449,-19,15
6043,sitting,-8036,3224,-14216,-467,-22,-24
6544,sitting,-8256,3172,-14088,-452,-6,-15
7045,sitting,-8200,3144,-14088,-426,8,16
7546,sitting,-8092,3220,-14144,-434,-33,-3
8047,sitting,-8048,3196,-14136,-418,-21,16
8548,sitting,-8112,3156,-14168,-428,-52,-6
9049,sitting,-8192,3200,-14104,-425,-28,-7
9550,sitting,-8144,3296,-14148,-440,6,-13
10051,sitting,-8196,3192,-14188,-452,-4,-10
10552,sitting,-8172,3208,-14136,-415,-18,10
11053,sitting,-8160,3140,-14164,-435,-58,-5
11554,sitting,-8220,3144,-13996,-409,-10,11
12055,sitting,-8204,3288,-14224,-424,-16,10
12556,sitting,-8156,3244,-14172,-417,9,-16
13057,sitting,-8028,3236,-14196,-424,-11,7
13558,sitting,-8176,3120,-14148,-410,-21,-34
14059,sitting,-8156,3180,-14124,-458,-28,2
14560,sitting,-8212,3244,-14200,-440,-23,-13
15061,sitting,-8232,3184,-14192,-413,-41,-6
15562,sitting,-8160,3176,-14232,-439,-73,-9
16063,sitting,-8148,3164,-14152,-431,-9,9
16564,sitting,-8168,3152,-14076,-438,-11,40
17065,sitting,-8156,3160,-14216,-422,-10,-3
17566,sitting,-8212,3216,-14016,-453,-19,13
18067,sitting,-8168,3284,-14188,-438,-7,-19
18568,sitting,-8108,3208,-14120,-441,-26,-23
19069,sitting,-8180,3136,-14192,-453,-13,-3
19570,sitting,-8156,3228,-14012,-437,25,-19
20071,sitting,-8152,3216,-14132,-441,-29,8
20572,sitting,-8184,3156,-14208,-426,-27,-1
21073,sitting,-8092,3248,-14168,-412,-6,-2
21574,sitting,-8200,3140,-14016,-426,3,12
22075,sitting,-8176,3236,-14056,-413,0,8
22576,sitting,-8112,3288,-14104,-439,-9,7
23077,sitting,-8212,3204,-14180,-425,-21,18
23578,sitting,-8128,3284,-14228,-451,-4,-4
24079,sitting,-8220,3164,-14100,-438,16,4
24580,sitting,-8144,3236,-14196,-459,-22,-44
25081,sitting,-8120,3232,-14036,-437,-3,-13
25582,sitting,-8140,3072,-14136,-419,-26,-10
26083,sitting,-8192,3152,-14008,-440,5,-7
26584,sitting,-8168,3088,-14236,-421,-11,-4
27085,sitting,-8288,3212,-14124,-433,-11,-17
27586,sitting,-8156,3256,-14112,-464,-16,-12
28087,sitting,-8264,3188,-14236,-425,-31,-16
28588,sitting,-8220,3220,-14340,-426,26,-46
29089,sitting,-8140,3264,-14148,-457,-20,-20
29590,sitting,-8220,3292,-14188,-430,-24,-18
30091,sitting,-8112,3216,-14064,-432,-25,33
30592,sitting,-8224,3264,-14176,-427,6,16
31093,sitting,-8184,3184,-14092,-429,-34,-5
31594,sitting,-8228,3164,-14188,-423,18,-13
32095,sitting,-8220,3304,-14096,-444,-35,18
32596,sitting,-8160,3156,-14100,-423,-24,-24
33097,sitting,-8192,3224,-14192,-425,-45,-28
33598,sitting,-8176,3280,-14144,-446,-22,3
34099,sitting,-8124,3244,-14196,-429,8,1
34600,sitting,-8172,3132,-14044,-421,-28,-2
35101,sitting,-8204,3192,-14040,-430,-28,18
35602,sitting,-8256,3128,-14144,-450,-20,-14
36103,sitting,-8084,3216,-14180,-442,6,-29
36604,sitting,-8208,3248,-14096,-438,11,14
37105,sitting,-8096,3248,-14128,-439,-12,5
37606,sitting,-8196,3180,-14144,-446,-19,-20
38107,sitting,-8220,3172,-14124,-438,5,-44
38608,sitting,-8144,3248,-14124,-437,15,3
39109,sitting,-8204,3324,-14092,-440,-16,25
39610,sitting,-8176,3208,-14088,-458,-21,18
40111,sitting,-8160,3236,-14196,-442,-25,-4
40612,sitting,-8264,3188,-14008,-448,6,-6
41113,sitting,-8188,3128,-14172,-426,18,-12
41614,sitting,-8216,3200,-14176,-456,-13,-14
42115,sitting,-8232,3144,-14180,-423,-17,-14
42616,sitting,-8084,3176,-14112,-423,-11,-4
43117,sitting,-8124,3164,-14092,-449,-19,0
43618,sitting,-8232,3180,-13964,-449,-10,9
44119,sitting,-8232,3168,-14280,-459,-35,12
44620,sitting,-8124,3272,-14192,-438,-26,-8
45121,sitting,-8256,3212,-14096,-448,-17,18
45622,sitting,-8168,3188,-14144,-425,-10,23
46123,sitting,-8220,3104,-14232,-436,-7,13
46624,sitting,-8116,3172,-14156,-422,-38,12
47125,sitting,-8180,3304,-14068,-463,-11,7
47626,sitting,-8240,3128,-14196,-421,-8,-20
48127,sitting,-8192,3160,-14168,-452,-4,-5
48628,sitting,-8136,3192,-14056,-466,-25,0
49129,sitting,-8160,3224,-14128,-458,-10,2
49630,sitting,-8224,3236,-14124,-440,-20,13
50131,sitting,-8192,3184,-14108,-440,10,2
50632,sitting,-8176,3164,-14132,-440,14,2
51133,sitting,-8328,3136,-14188,-461,-5,-19
51634,sitting,-8156,3204,-14160,-441,-16,-10
52135,sitting,-8148,3200,-14052,-432,-8,-26
52636,sitting,-8216,3228,-14228,-438,-4,-21
53137,sitting,-8256,3136,-14192,-423,7,-10
53638,sitting,-8256,3236,-14144,-440,-43,11
54139,sitting,-8128,3252,-14072,-454,-26,7
54640,sitting,-8140,3264,-14128,-407,-4,-5
55141,sitting,-8200,3100,-14016,-427,-1,16
55642,sitting,-8140,3192,-14116,-418,-21,-12
56143,sitting,-8212,3116,-14412,-455,-21,1
56644,sitting,-8180,3184,-14000,-443,-16,-16
57145,sitting,-8200,3172,-14160,-432,-21,16
57646,sitting,-8076,3136,-14172,-454,-4,4
58147,sitting,-8176,3240,-14060,-442,18,-2
58648,sitting,-8232,3164,-14172,-470,-9,11
59149,sitting,-8104,3176,-14132,-411,-17,-5
59650,sitting,-8272,3240,-14196,-419,-34,-29
60151,sitting,-8160,3100,-14176,-458,3,-6
60652,sitting,-8200,3196,-14136,-438,-13,-12
61153,sitting,-8156,3260,-14132,-459,-19,-17
61654,sitting,-8172,3220,-14224,-461,-53,3
62155,sitting,-8196,3256,-14244,-438,3,-8
62656,sitting,-8212,3240,-14108,-431,4,-20
63157,sitting,-8216,3236,-14272,-431,-4,-14
63658,sitting,-8248,3220,-14164,-414,-40,22
64159,sitting,-8208,3268,-14048,-432,-22,-7
64660,sitting,-8132,3244,-14156,-455,-7,7
65161,sitting,-8192,3200,-14052,-442,13,-9
65662,sitting,-8172,3236,-14024,-455,-14,-16
66163,sitting,-8044,3144,-14036,-453,-29,-12
66664,sitting,-8132,3104,-14088,-426,-10,2
67165,sitting,-8144,3200,-14152,-422,-2,31
67666,sitting,-8112,3196,-13980,-424,17,-12
68167,sitting,-8132,3292,-14168,-446,-17,-12
68668,sitting,-8072,3252,-14132,-441,-23,9
69169,sitting,-8084,3232,-14100,-423,-2,-14
69670,sitting,-8132,3284,-14100,-419,-7,2
70171,sitting,-8144,3208,-14048,-432,-38,5
70672,sitting,-8144,3180,-14256,-444,-10,8
71173,sitting,-8156,3172,-14104,-448,-25,1
71674,sitting,-8164,3216,-14176,-434,-4,2
72175,sitting,-8148,3152,-14252,-451,-15,5
72676,sitting,-8200,3192,-14320,-445,1,11
73177,sitting,-8156,3152,-14208,-447,-30,0
73678,sitting,-8236,3248,-14256,-439,-26,-17
74179,sitting,-8152,3236,-14144,-436,-1,12
74680,sitting,-8176,3216,-14124,-423,-28,0
75181,sitting,-8176,3212,-14100,-438,-6,-1
75682,sitting,-8084,3328,-14112,-430,-40,5
76183,sitting,-8212,3100,-14176,-430,-35,5
76684,sitting,-8208,3188,-14120,-465,3,4
77185,sitting,-8192,3200,-14076,-435,-30,4
77686,sitting,-8180,3212,-14156,-446,-33,2
78187,sitting,-8244,3292,-14036,-421,-13,-10
78688,sitting,-8164,3192,-14092,-441,-24,20
79189,sitting,-8176,3172,-14180,-406,-8,6
79690,sitting,-8188,3136,-14232,-435,14,-4
80191,sitting,-8132,3168,-14148,-448,-31,12
80692,sitting,-8156,3180,-14060,-430,-58,-13
81193,sitting,-8168,3252,-14152,-419,8,-18
81694,sitting,-8192,3204,-14164,-434,-28,12
82195,sitting,-8132,3152,-14064,-463,-12,-31
82696,sitting,-8156,3260,-14092,-460,-41,31
83197,sitting,-8220,3208,-14148,-456,-25,-18
83698,sitting,-8236,3296,-14064,-433,10,3
84199,sitting,-8148,3232,-14108,-455,-7,1
84700,sitting,-8104,3156,-14244,-451,-7,9
85201,sitting,-8176,3308,-14212,-431,-40,2
85702,sitting,-8240,3100,-14124,-424,-6,0
86203,sitting,-8220,3176,-14172,-451,3,32
86704,sitting,-8172,3236,-14224,-422,-22,-8
87205,sitting,-8160,3196,-14052,-431,-14,-1
87706,sitting,-8176,3208,-14176,-449,-17,1
88207,sitting,-8152,3068,-14100,-409,2,1
88708,sitting,-8164,3180,-14048,-439,4,-11
89209,sitting,-8248,3212,-14256,-427,-8,1
89710,sitting,-8212,3284,-14172,-446,-20,11
90211,sitting,-8156,3264,-14108,-462,-38,-2
90712,sitting,-8168,3264,-14172,-434,-20,2
91213,sitting,-8156,3196,-14148,-448,3,4
91714,sitting,-8196,3224,-14144,-441,-1,14
92215,sitting,-8216,3212,-14140,-431,-22,5
92716,sitting,-8084,3240,-14104,-441,-9,1
93217,sitting,-8212,3188,-14176,-424,11,7
93718,sitting,-8244,3268,-14200,-415,2,-11
94219,sitting,-8292,3164,-14068,-449,-29,-9
94720,sitting,-8188,3224,-14120,-475,-39,4
95221,sitting,-8160,3192,-14224,-446,-16,2
95722,sitting,-8156,3300,-14228,-424,-2,9
96223,sitting,-8136,3140,-14040,-454,6,4
96724,sitting,-8244,3196,-13992,-420,-25,-20
97225,sitting,-8124,3220,-14140,-423,-7,18
97726,sitting,-8164,3220,-14260,-425,-12,-15
98227,sitting,-8140,3156,-14168,-439,19,-3
98728,sitting,-8216,3204,-14152,-434,-3,0
99229,sitting,-8108,3176,-14136,-458,-19,-12
99730,sitting,-8160,3184,-14088,-447,-33,-8
