30,0,0,0,0,0,0
531,6336,-20012,5868,10536,6158,17018
1033,-8880,-9544,3700,-7103,10286,-539
1534,-13876,-2584,4096,-6150,7284,-835
2035,-6904,-3496,-544,11097,-23842,-6475
2536,-12668,1076,7800,-6016,-15309,-11093
3037,-3320,-32768,-16512,32767,-15462,16152
3538,-12840,5356,-4608,-9812,-32768,5802
4039,-2476,6140,17608,-26196,-19184,1939
4540,4148,-3596,14756,-7917,-3791,1304
5041,392,-19344,-1504,-32768,7847,-5826
5542,-7360,-8156,9912,8529,8152,2309
""
30,0,0,0,0,0,0
531,6336,-20012,5868,10536,6158,17018
1033,-8880,-9544,3700,-7103,10286,-539
1534,-13876,-2584,4096,-6150,7284,-835
2035,-6904,-3496,-544,11097,-23842,-6475
2536,-12668,1076,7800,-6016,-15309,-11093
3037,-3320,-32768,-16512,32767,-15462,16152
3538,-12840,5356,-4608,-9812,-32768,5802
4039,-2476,6140,17608,-26196,-19184,1939
4540,4148,-3596,14756,-7917,-3791,1304
5041,392,-19344,-1504,-32768,7847,-5826
5542,-7360,-8156,9912,8529,8152,2309
11142,13760,-15108,3952,-15935,-11341,15479
11644,3716,-11112,3984,9253,298,-9545
12145,6664,-15388,-244,-479,-42,48
12646,6688,-15368,-56,-481,-36,54
13147,6636,-15420,-272,-477,-4,19
13648,6640,-15436,-336,-447,-16,24
14149,6636,-15404,-264,-450,-10,16
14650,6612,-15444,-288,-452,1,18
15151,6484,-15456,-332,-447,-43,-11
15652,6508,-15468,-292,-450,14,15
16153,6556,-15428,-200,-452,-27,-9
16654,6452,-15436,-368,-404,45,67
17155,6572,-15496,-316,-434,-10,20
17656,6480,-15420,-260,-420,-47,17
18157,6620,-15480,-320,-424,-4,26
18658,6572,-15548,-284,-440,-20,33
19159,6540,-15472,-416,-426,-35,-14
19660,6528,-15472,-312,-469,-32,-24
20161,6564,-15440,-276,-456,6,4
20662,6544,-15492,-408,-441,-17,-8
21163,6524,-15440,-432,-421,0,-2
21664,6468,-15500,-320,-447,-23,3
22165,6516,-15544,-332,-444,-16,-3
22666,6580,-15516,-408,-438,-28,3
23167,6564,-15468,-400,-448,-20,31
23668,6592,-15404,-424,-437,-20,-3
24169,6512,-15408,-480,-439,-26,-10
24670,6520,-15536,-276,-448,-20,-7
25171,6556,-15528,-408,-442,25,11
25672,6468,-15408,-464,-415,-13,-12
26173,6496,-15508,-468,-449,-19,4
26674,6580,-15468,-364,-425,-11,0
27175,6364,-15816,-1668,3414,1918,-4336
27676,20804,1280,1968,32767,23655,-32768
28177,-3356,8596,-5980,-588,17216,-11343
28678,-1164,15112,-788,-17970,4732,15065
29179,1880,14480,-17124,-12678,4945,-11334
29680,-6816,8052,-8156,-9406,-4535,-454
30181,1160,14920,-9700,-15600,-1405,-1151
30682,-640,23600,-9184,-20541,-20449,-2365
31183,-1632,13136,-8504,-1003,-803,-1488
31684,-2648,13716,-7124,3091,-1767,-887
32185,-2708,15208,-10768,-4740,3800,-1489
32686,-4928,12004,-9828,-6306,-1534,1391
33187,-1644,13712,-7204,-2830,2140,1506
33688,-128,14252,-6668,6269,-4878,253
34189,-2940,12060,-8292,2729,1459,1416
34690,32767,1932,-28852,-6849,6922,32767
35191,26316,1944,-736,-7403,-22324,-14632
35692,15216,9984,-2088,-16559,-27818,-18916
36193,5744,13160,260,4378,-10561,-12176
36694,-2728,10428,-8024,1694,-3643,-4956
37195,-2284,13192,-7868,1001,3301,-1389
37696,-1204,14836,-7768,-99,565,-209
38197,-1072,14732,-7884,-406,-153,-352
38698,-1532,14368,-7704,-306,153,-290
39199,-1060,14172,-8244,-1017,-349,-69
39700,-984,14380,-8236,-111,161,134
40201,-1004,14392,-8344,-380,35,12
40702,-944,14336,-8352,-370,6,-36
41203,-996,14300,-8440,-351,15,-75
41704,-832,14260,-8496,-370,30,133
42205,3296,13352,-1984,2509,5345,17337
42706,17336,12192,-6988,23871,30546,32767
43207,23508,-15700,-13024,4159,14604,7992
43708,7792,4864,12664,183,7531,-13748
44209,16692,1456,3320,2322,0,6298
44710,14792,-3620,1652,-1474,4086,1202
""
